item_id;vectors
0;-0.22162326|0.082060575|-0.08681038|-0.19939254|0.08176133|0.24026833|-0.21914518|-0.012528739|-0.21293427|0.025939982|0.112085715|-0.1447356|-0.24231805|0.06412281|-0.17643149|-0.2391935|0.061015226|-0.13760567|0.18542252|-0.16583925|-0.004519364|0.21723565|0.25911123|0.0820252|-0.1783209|0.24987462|0.0012945854|0.08898361|-0.10022809|0.116928846|-0.2322597|-0.032708608|0.22406596|-0.25046453|-0.2272144|-0.02013695|0.06555186|-0.24926431|-0.20487848|0.13963208|-0.12948912|0.063099995|-0.216611|0.028398752|0.1787066|0.14431408|0.20318124|0.0013816655|-0.16478616|0.13350306|0.13734807|-0.13004006|-0.16755971|-0.20139295|-0.12423079|-0.04511573|0.076592006|0.050330374|-0.21279278|-0.25428414|-0.26866138|0.07942436|-0.19560787|-0.15615557|0.14699069|-0.23083508|-0.2184711|-0.26086202|-0.1827141|0.15693995|-0.1505222|0.16526076|-0.07503702|-0.030623378|-0.1952984|-0.111405954|-0.12442736|0.048633713|-0.1876415|0.23193642|-0.20491745|-0.20594344|-0.2189123|0.23650502|0.11520398|0.18194854|-0.1855329|-0.25394773|0.15851532|0.28313237|0.22378129|-0.26132017|0.13793021|0.22185716|-0.21970935|-0.040105484|0.14503008|0.13148852|-0.21253932|0.08615274
1;-0.12226494|0.051732376|-0.11810802|-0.15335433|0.017484527|0.20516463|-0.19452094|0.0023623686|-0.11891224|0.0030031055|0.1328471|-0.1555043|-0.24197525|0.10175114|-0.16099316|-0.23645128|0.14385247|-0.18902291|0.11876412|-0.12185804|0.030401971|0.13028613|0.09680836|0.082329705|-0.105635636|0.20359764|0.042367864|0.18211041|-0.11542517|0.09462298|-0.16418879|-0.06250357|0.16268018|-0.124261|-0.11128885|-0.01646702|0.052613903|-0.114275105|-0.1962663|0.09913738|-0.034455225|0.14773728|-0.187004|0.067148626|0.21849868|0.1826395|0.19605845|-0.10727437|-0.17728028|0.21013165|0.10889672|-0.12790538|-0.12440871|-0.15303077|-0.17840402|0.031154495|0.14413996|-0.02503657|-0.1507563|-0.20826018|-0.14234565|0.13209304|-0.122693226|-0.17667636|0.16896439|-0.14762986|-0.113896206|-0.15726623|-0.2310671|0.15027742|-0.2204145|0.079192564|-0.08255416|-0.12709364|-0.17584993|-0.12161162|-0.14255911|0.057671275|-0.16335055|0.17831725|-0.16557664|-0.11823758|-0.1824769|0.13932997|0.17464016|0.123001|-0.16954006|-0.18801346|0.21328682|0.22516334|0.15678018|-0.1257487|0.11889261|0.23494901|-0.18704945|-0.018238792|0.11255966|0.2221023|-0.06616771|0.064322844
2;-0.20948793|0.053604573|-0.10730472|-0.15136035|0.055265155|0.17917717|-0.13823415|-0.015989818|-0.13365604|0.10810962|0.1871565|-0.16857584|-0.17049532|0.16306296|-0.12752894|-0.18621822|0.10330233|-0.10012098|0.20094043|-0.12068348|0.007933001|0.122351296|0.09503588|0.10999308|-0.11311353|0.17859936|-0.039469432|0.15151373|-0.08104643|0.081606545|-0.22981834|0.0062435046|0.13283116|-0.11720911|-0.22292762|0.025980093|0.088481784|-0.1538196|-0.13663928|0.14063452|0.008400936|0.14021054|-0.16460569|0.021071194|0.06769396|0.23035443|0.096896976|-0.14564475|-0.17142041|0.1031709|0.061772943|-0.16441743|-0.052987423|-0.14163539|-0.14890732|-0.11904986|0.16995943|0.12773074|-0.16323696|-0.14096831|-0.1344725|0.11997262|-0.18432875|-0.1742795|0.12029448|-0.14990176|-0.18739212|-0.2075366|-0.26671222|0.14356747|-0.22506963|0.117100574|-0.0033646673|-0.029476315|-0.08703552|-0.16162404|-0.11617562|0.07710011|-0.22895287|0.13548928|-0.18559216|-0.15826106|-0.10963745|0.13804556|0.16950625|0.11963655|-0.115341686|-0.09932656|0.21806683|0.24499981|0.13087259|-0.2036644|0.12569313|0.20259488|-0.20185912|-0.0072682686|0.08706031|0.07926252|-0.07703452|0.032689378
3;-0.20113458|0.06713491|-0.14161727|-0.117409915|0.017799903|0.23464069|-0.15146239|0.03943372|-0.16848627|0.11379153|0.16912901|-0.15142152|-0.14070457|0.16511859|-0.12887244|-0.24872825|0.15958767|-0.19144067|0.19970074|-0.15782586|0.0426545|0.21090555|0.0925837|0.12214233|-0.14698893|0.1645276|-0.012239188|0.088460445|-0.18615493|0.03183187|-0.22165553|-0.06281524|0.23447739|-0.20829257|-0.18141374|-0.07368018|0.07995702|-0.0926535|-0.15288842|0.14663945|0.009486087|0.13655037|-0.17088735|0.06730409|0.08501458|0.2498564|0.19156696|-0.12457798|-0.15928645|0.1382443|0.069763735|-0.13305451|-0.15320188|-0.13538553|-0.22328706|-0.04609616|0.12598029|0.052140057|-0.2000625|-0.26137742|-0.20668429|0.1698459|-0.17671588|-0.111288816|0.10526733|-0.22065207|-0.15324438|-0.25512478|-0.17198627|0.08571926|-0.16560817|0.102096215|-0.07605382|-0.09857811|-0.101015136|-0.1981721|-0.09953854|0.063900076|-0.21600005|0.1836045|-0.13264059|-0.15202534|-0.17640725|0.13058555|0.17875965|0.18501002|-0.18349054|-0.20646565|0.21981962|0.23574673|0.2287937|-0.11595336|0.13389082|0.16185023|-0.17509593|-0.001840584|0.09819548|0.20752539|-0.12113315|0.14045045
4;-0.15918495|0.093094796|-0.1697659|-0.17701876|0.045373455|0.24899194|-0.1502621|-0.07882103|-0.20343731|0.05854561|0.21378314|-0.17853385|-0.19073832|0.17215893|-0.12204226|-0.17346933|0.17499796|-0.17183626|0.19359297|-0.07502763|0.0769198|0.17963366|0.16817561|0.16135475|-0.17069255|0.15065306|0.00021223025|0.14463444|-0.07994535|-0.02338221|-0.12382504|-0.17545724|0.17621173|-0.11896783|-0.17256778|0.031625155|0.088537805|-0.14596927|-0.14803906|0.10331275|-0.099944666|0.18895486|-0.12157881|0.08937403|0.06348836|0.1685855|0.17154275|-0.07857897|-0.14643438|0.11070639|0.12566443|-0.16231035|-0.07208272|-0.20711072|-0.14906374|0.004239969|0.19982618|0.039804924|-0.18476816|-0.23959148|-0.1234851|0.09610814|-0.1509033|-0.18057851|0.1935463|-0.1913529|-0.055770747|-0.19669777|-0.21752235|0.03980566|-0.17765042|0.06569967|-0.039683532|-0.1082608|-0.19874078|-0.16606948|-0.11882842|0.071155034|-0.20749074|0.17438479|-0.17126837|-0.07694968|-0.08099134|0.163626|0.123126574|0.116815|-0.1442512|-0.1613065|0.20712087|0.1479366|0.1567333|-0.18874864|0.10199632|0.2295231|-0.055219926|0.010337718|0.12817714|0.13854662|-0.15439157|0.06976631
5;-0.18406734|0.09537845|-0.08690378|-0.14473265|0.057258934|0.20781885|-0.17987245|0.05237442|-0.09750426|0.038396902|0.09474918|-0.07983198|-0.17664541|0.0989218|-0.09772635|-0.20118046|0.14073391|-0.17504016|0.23028643|-0.06343912|0.01342372|0.19592918|0.10716425|0.12474953|-0.16585365|0.15741098|-0.039178077|0.19237182|-0.15926594|0.093871355|-0.18857926|-0.10988427|0.19703375|-0.10009447|-0.10605649|0.019119658|0.052786283|-0.1009921|-0.16571088|0.11403775|-0.018243495|0.14360309|-0.14394136|0.025681347|0.1469176|0.12244066|0.12147035|-0.15757702|-0.10944208|0.18435572|0.07703103|-0.12049861|-0.15455586|-0.17334595|-0.18296747|-0.11502896|0.18627463|0.013606567|-0.18112189|-0.14222983|-0.17050292|0.05760982|-0.0943813|-0.11269544|0.097570375|-0.14539158|-0.08698942|-0.1390517|-0.13404584|0.07249423|-0.26501083|0.09533594|-0.060761612|-0.032008514|-0.18633853|-0.059889667|-0.06874641|0.045014527|-0.14446291|0.13777651|-0.17830543|-0.0728012|-0.16358662|0.23306945|0.06059578|0.1506316|-0.18334405|-0.19815677|0.16134466|0.2956863|0.16580372|-0.21525142|0.13679905|0.15400222|-0.13941115|-0.040315658|0.12608805|0.14220957|-0.06421219|0.07542492
6;-0.1555094|0.1445381|-0.044433214|-0.2030073|0.08946854|0.19824168|-0.2037288|-0.04404391|-0.12606332|0.055239197|0.13321896|-0.14375626|-0.15114488|0.11118214|-0.11391204|-0.21115017|0.10519262|-0.13126732|0.13276166|-0.17968386|0.09846249|0.09439786|0.14467591|0.04506275|-0.15538257|0.20571822|0.03140447|0.1536572|-0.15897356|0.12660646|-0.1940516|-0.103031024|0.23236318|-0.23451936|-0.17335682|-0.03467121|0.047187656|-0.19332282|-0.17720507|0.13391948|-0.15524755|0.1067169|-0.12904233|0.045150854|0.15917191|0.13978301|0.12633765|-0.054647576|-0.16255976|0.13717155|0.07183841|-0.15773794|-0.053360764|-0.15500751|-0.10886218|-0.123135164|0.17127308|0.04282201|-0.18840478|-0.2488628|-0.16542524|0.13796377|-0.22808671|-0.13770069|0.16264597|-0.20881896|-0.08905002|-0.1508142|-0.18362124|0.135647|-0.13424358|0.14051966|-0.05664754|-0.036125682|-0.20927492|-0.20172273|-0.14783365|0.07232711|-0.22765|0.15229626|-0.22977412|-0.17014068|-0.13213585|0.202981|0.11648707|0.1402232|-0.14145249|-0.13291065|0.12745675|0.2107419|0.16300216|-0.22350103|0.11109063|0.24472263|-0.21852137|-0.02042898|0.13646683|0.117550075|-0.16923307|0.12490058
7;-0.13169158|0.048480753|-0.18092859|-0.22189897|0.097050294|0.22242263|-0.119790345|0.018017521|-0.22479093|0.08065936|0.12893167|-0.18815789|-0.18901321|0.16995668|-0.123599604|-0.15735684|0.077821285|-0.21989295|0.10328843|-0.09148329|0.06493041|0.11088704|0.1998996|0.09108472|-0.14888012|0.11076742|0.048618082|0.13607362|-0.16618215|0.072735325|-0.22651376|-0.052097358|0.19080247|-0.15772896|-0.16925763|-0.06963192|0.08073581|-0.17060974|-0.1917078|0.16968101|-0.021131262|0.15040264|-0.1999082|0.012869775|0.100546986|0.16565007|0.17593458|-0.04957016|-0.14512832|0.10527587|0.07762197|-0.18275517|-0.058210887|-0.16303231|-0.14129986|-0.07290563|0.13977027|-0.00591249|-0.15020683|-0.25241387|-0.20263405|0.14748162|-0.17749256|-0.1572703|0.08419229|-0.2105568|-0.2225656|-0.14304641|-0.19969065|0.08505088|-0.17352785|0.14236495|-0.11176044|-0.05550597|-0.15545131|-0.14280327|-0.07358988|0.10530726|-0.12387012|0.19431227|-0.09226089|-0.10811494|-0.18470588|0.14353387|0.08598102|0.06503559|-0.13634968|-0.15325218|0.21797627|0.2548129|0.123380795|-0.17297876|0.1906809|0.16671792|-0.10242665|0.018785357|0.1121872|0.22348043|-0.14066657|0.089214265
8;-0.3000716|0.039269347|-0.11956198|-0.16004089|0.09573144|0.32494542|-0.12802891|-0.03715473|-0.27328172|0.07580451|0.17191872|-0.19966018|-0.24750733|0.05655285|-0.14524521|-0.18853189|0.017653205|-0.27168834|0.21325108|-0.17384511|0.119701|0.2102978|0.22790888|0.17380878|-0.13455504|0.19272687|0.058217425|0.083658785|-0.16129443|0.032848187|-0.1786896|-0.06841568|0.13836277|-0.27658233|-0.22922862|-0.07673266|0.12525848|-0.21924475|-0.16039568|0.04640443|-0.05996176|0.128091|-0.2635406|-0.0028602518|0.18516329|0.1702222|0.19092976|-0.035716787|-0.17863852|0.13912874|0.12167084|-0.1422041|-0.14783406|-0.14987904|-0.15116405|-0.15968567|0.14133906|0.055766582|-0.20887992|-0.2700995|-0.236506|0.17374548|-0.23551634|-0.18137535|0.12237032|-0.2626953|-0.18195432|-0.27014014|-0.22626816|0.11426282|-0.13822997|0.109388694|-0.09636824|-0.09517871|-0.17728424|-0.11987518|-0.19147654|0.09174548|-0.15247661|0.12073276|-0.120393954|-0.21037322|-0.18532644|0.14352848|0.094269454|0.16465062|-0.08593765|-0.18050696|0.2027593|0.31635842|0.18176146|-0.2554136|0.18401048|0.22108255|-0.21420488|-0.0047533885|0.1883651|0.17195213|-0.07061425|0.11828949
9;-0.23118725|0.013803177|-0.07220714|-0.16372547|0.04304331|0.21107186|-0.14128098|-0.0075228373|-0.20125982|0.08047401|0.15121236|-0.21462092|-0.14109364|0.17600101|-0.08042226|-0.1832841|0.067825146|-0.14655164|0.25742218|-0.116647825|0.02067628|0.18432383|0.18255465|0.14221042|-0.102530956|0.19522764|-0.02171242|0.11000799|-0.15575045|0.10587026|-0.18381195|-0.08429696|0.21643372|-0.20463865|-0.23463131|-0.057748724|0.02107191|-0.10760563|-0.14139974|0.027479552|-0.09254148|0.14854354|-0.09806225|0.09953365|0.1829312|0.25215173|0.20021956|-0.1150277|-0.11104919|0.1007749|0.10491188|-0.22174552|-0.07429475|-0.10624412|-0.16574231|-0.048531838|0.09579841|0.011990406|-0.24479768|-0.13974641|-0.2408818|0.10991587|-0.19931377|-0.26142377|0.055717636|-0.2300518|-0.18416117|-0.24717823|-0.25655803|0.16090308|-0.25083622|0.1544569|-0.08624373|-0.023073435|-0.11290722|-0.13545199|-0.13455121|0.080237344|-0.16171193|0.20234053|-0.14845781|-0.18512753|-0.17461726|0.16337693|0.12041924|0.16722502|-0.15471214|-0.21715507|0.12072418|0.25450945|0.20009127|-0.16965412|0.08988275|0.22363453|-0.23508511|-0.099235356|0.20600921|0.1293239|-0.08106159|0.11378856
