state;action_reward;n_state
1121&4|686&3|135&2|492&5|1203&5|481&5|216&2|524&5|23&4|705&5|217&3|1050&4;451&2|661&4|712&3|525&4;1121&4|686&3|135&2|492&5|1203&5|481&5|216&2|524&5|23&4|705&5|217&3|1050&4|451&2|661&4|712&3|525&4
818&3|257&3|10&4|827&3|888&4|270&3|213&4|847&4|529&4|116&4|15&3|129&4;904&4|1592&4|903&4|316&4;818&3|257&3|10&4|827&3|888&4|270&3|213&4|847&4|529&4|116&4|15&3|129&4|904&4|1592&4|903&4|316&4
272&5|327&4|328&4|300&4|748&4|355&4|343&3|258&4|879&4|329&3|313&5|333&4;289&5|751&4|271&4|878&4;272&5|327&4|328&4|300&4|748&4|355&4|343&3|258&4|879&4|329&3|313&5|333&4|289&5|751&4|271&4|878&4
98&4|192&4|471&4|603&4|32&3|467&4|181&3|171&4|100&4|1079&2|518&4|69&4;178&5|31&3|273&4|151&5;98&4|192&4|471&4|603&4|32&3|467&4|181&3|171&4|100&4|1079&2|518&4|69&4|178&5|31&3|273&4|151&5
509&4|269&5|381&5|496&5|196&5|181&4|1170&3|154&4|1118&4|729&3|52&5|475&5;281&3|313&4|116&5|1168&4;509&4|269&5|381&5|496&5|196&5|181&4|1170&3|154&4|1118&4|729&3|52&5|475&5|281&3|313&4|116&5|1168&4
286&5|882&5|245&4|300&4|288&4|294&3|304&5|289&3|690&5|305&2|269&5|332&5;875&1|324&2|322&3|938&1;286&5|882&5|245&4|300&4|288&4|294&3|304&5|289&3|690&5|305&2|269&5|332&5|875&1|324&2|322&3|938&1
284&3|1059&3|283&4|726&4|222&2|412&1|116&3|619&3|742&2|926&3|25&5|151&2;1&4|3&4|42&4|79&5;284&3|1059&3|283&4|726&4|222&2|412&1|116&3|619&3|742&2|926&3|25&5|151&2|1&4|3&4|42&4|79&5
13&5|502&4|516&3|226&4|313&3|533&3|792&3|175&4|474&4|162&3|614&3|132&4;70&4|972&3|703&4|72&3;13&5|502&4|516&3|226&4|313&3|533&3|792&3|175&4|474&4|162&3|614&3|132&4|70&4|972&3|703&4|72&3
408&5|257&4|235&4|678&3|127&4|121&4|109&3|118&4|289&2|825&3|473&3|181&4;568&4|969&5|826&3|122&1;408&5|257&4|235&4|678&3|127&4|121&4|109&3|118&4|289&2|825&3|473&3|181&4|568&4|969&5|826&3|122&1
50&4|283&5|197&3|42&3|650&3|252&4|238&4|211&5|678&3|100&4|313&4|198&4;4&3|514&4|524&5|393&3;50&4|283&5|197&3|42&3|650&3|252&4|238&4|211&5|678&3|100&4|313&4|198&4|4&3|514&4|524&5|393&3
87&4|647&1|89&3|402&4|230&1|222&1|357&4|182&5|515&4|229&1|7&1|64&5;161&5|204&4|195&5|466&4;87&4|647&1|89&3|402&4|230&1|222&1|357&4|182&5|515&4|229&1|7&1|64&5|161&5|204&4|195&5|466&4
487&4|98&4|465&4|275&4|423&4|174&4|56&1|724&3|288&4|97&4|478&4|591&4;605&4|479&4|482&2|121&4;487&4|98&4|465&4|275&4|423&4|174&4|56&1|724&3|288&4|97&4|478&4|591&4|605&4|479&4|482&2|121&4
